step;ros_timestamp;ft_wrench_fx;ft_wrench_fy;ft_wrench_fz;ft_wrench_tx;ft_wrench_ty;ft_wrench_tz;current_absolute_pose_x;current_absolute_pose_y;current_absolute_pose_z;current_twist_vx;current_twist_vy;current_twist_vz;current_twist_wx;current_twist_wy;current_twist_wz;action_f_x;action_f_y;action_f_z;action_t_x;action_t_y;action_t_z;reward
1;0,0373;0,09842304;0,016893458;0,048616078;-0,030687772;0,1562137;0,01351207;0,6182616;0,12092606;0,5429512;0,005110055;0,0007811106;;-0,057498902;-0,028702622;0,00295942;0,18995486;0,12010261;-0,09640066;-0,11968027;-0,5087829;0,059870146;0,0
2;0,0771;0,070514835;0,0085813105;0,044036523;-0,016917836;0,114755325;0,05688789;0,6184182;0,121009596;0,5429116;0,01427942;0,004654057;-0,009105833;-0,09588809;-0,027425023;;0,20864405;0,12214759;-0,09435568;-0,112982966;-0,5493507;0,065152556;0,0
3;0,1071;0,08098135;0,018695334;0,03180069;-0,022010442;0,1279168;0,11849173;0,61854565;0,121068515;0,5428457;0,01940914;0,0072161197;;;-0,026295107;-0,012658923;0,22104378;0,12979954;-0,09160568;-0,11305426;-0,55091923;0,06417222;0,0
4;0,1372;0,13764258;-0,038289197;0,2996378;0,04347447;0,19921649;0,112260155;0,6187218;0,12109942;0,5427411;0,023778247;0,009469187;-0,012553952;-0,11526153;-0,026246937;;0,23324943;0,13571881;-0,08568642;-0,11328495;-0,5559944;0,07121266;0,0
5;0,1771;0,08885696;0,039775345;0,039107256;-0,06078303;;0,12750518;0,61905295;0,12113204;0,54256105;0,030441381;0,011411658;-0,013537374;-0,120975204;-0,024439426;-0,01858799;0,23286806;0,15353252;-0,08012761;-0,109145746;-0,54663116;0,05663984;0,0
6;0,2071;0,084395;0,035448305;;-0,05322428;0,13630441;0,12875114;0,61929315;0,12116016;0,5424341;;0,0136099635;-0,014154849;-0,122319095;-0,02248732;-0,019034095;0,22794129;0,1527082;-0,07850095;-0,10927966;-0,54957736;0,054798454;0,0
7;0,2371;0,07072082;0,013933915;0,037838332;-0,015108622;0,1108805;0,12961465;0,61954015;0,12120653;0,5422816;0,03392668;0,0155597655;-0,014599946;-0,122953;-0,020247009;-0,01881124;0,21531132;0,15930933;-0,076801784;-0,12072661;-0,58899194;0,050589178;0,0
8;0,2671;0,09140147;0,021268347;0,027753051;-0,027663661;0,15229623;0,12714528;0,6198003;0,121253274;0,5421556;;0,017082846;-0,014524589;-0,12681939;-0,020476393;-0,0192273;0,22288077;0,16096438;-0,0775977;-0,12086606;-0,59205985;0,048671756;0,0
9;0,2971;0,080296464;0,038935583;0,027815625;-0,058444068;0,12273306;0,1282926;0,6200266;0,12134301;0,5420762;0,035241276;0,01810696;-0,014651104;-0,13101463;-0,019582195;-0,020907411;0,21777529;0,15696216;-0,08159993;-0,12098496;-0,57016575;0,041930698;0,0
10;0,3271;0,065447256;0,015330528;0,045339588;-0,019284619;0,10548023;0,12526023;0,620293;0,12144575;0,5419382;0,035364553;0,018771041;-0,015146936;-0,1339739;-0,01770619;-0,022381434;0,22086516;0,15471013;-0,08385196;-0,12098679;-0,5702061;0,04190549;0,0
11;0,3572;0,08286922;0,031954173;0,056732953;-0,050802987;0,12733226;0,1239134;0,6205426;0,12157299;0,54182535;0,035584774;;-0,015200008;-0,13654101;-0,01889387;-0,022159005;0,22681555;0,14375062;-0,08990952;-0,12756097;-0,5759492;0,033209864;0,0
12;0,3872;0,07447885;0,066478565;0,03216897;-0,108630605;0,12071067;0,124301225;0,62079674;0,12171321;0,54167444;0,036189746;0,019186568;-0,015942035;-0,14003117;-0,016535986;-0,023028705;0,22971009;0,13813452;-0,093074635;-0,13188183;-0,58930874;0,035072576;0,0
13;0,4172;0,053003676;0,053230952;0,023765849;-0,08133871;0,07554366;0,12712817;0,62101334;0,12183396;0,541602;0,03649751;0,018757349;-0,016490864;-0,14465977;-0,01625784;-0,023630356;0,2341292;0,13994455;-0,09616656;-0,1315793;-0,58265305;0,039232362;0,0
14;0,4572;0,06993679;0,035573155;0,065073684;-0,05562516;0,10993599;0,12365726;0,6213749;0,12198428;0,5414042;0,037149824;0,018245004;-0,016995868;-0,14944023;-0,016857836;-0,02458389;0,20690754;0,16501747;-0,078446575;-0,13124773;-0,5753586;0,033578977;0,0
15;0,4971;0,089921154;0,024598274;0,04483298;-0,033089604;0,14411722;0,124038;0,6216945;0,12214067;0,5412995;0,03715635;0,018965432;-0,017075242;-0,15248144;-0,015288181;;0,1418447;0,19843167;-0,054836307;-0,13096908;-0,59373796;0,06294155;0,0
16;0,5371;0,05737234;0,039087877;0,03441994;-0,057615235;0,08930716;;0,6219833;0,12234681;0,54117805;0,03438436;0,02114396;-0,015621229;-0,15439291;-0,016561652;-0,023427429;0,10566392;0,22395991;-0,03911199;-0,14863753;-0,6311367;0,1263729;0,0
17;0,5771;0,07247071;0,016847987;0,03604278;-0,015591847;0,118376404;;0,62221074;0,12258818;0,5410843;0,029754343;0,024741784;-0,01376168;-0,1604929;-0,016022896;-0,019376459;0,088291265;0,24667153;-0,040910166;-0,15532602;-0,6475646;0,13653031;0,0
18;0,6172;0,058722246;0,043510217;0,033476844;-0,06371967;0,09120962;0,1253548;0,62239957;0,12286305;0,5410156;0,024806332;0,02882615;-0,011790199;-0,17134339;-0,018575579;-0,016156733;0,09516597;0,26936945;-0,040271062;-0,16663042;-0,67567307;0,15981217;0,0
19;0,6572;0,062181853;0,036765303;0,01971542;-0,05254349;0,10081923;0,12681216;0,6225631;0,12321914;0,5409279;0,021434963;0,032481883;-0,011033153;-0,18205184;-0,016960928;-0,013736863;0,11895183;0,2810608;-0,040834595;-0,17359765;-0,6655536;0,18145545;0,0
20;0,6872;0,059470396;0,017274406;0,05444347;-0,022666015;0,094826;0,12705596;0,62271357;0,12344525;0,5408661;0,020547658;0,03521097;-0,010426069;-0,19163214;-0,017289696;-0,011848923;0,1316438;0,27981257;-0,04453383;-0,18041356;-0,6847847;0,16943604;0,0
21;0,7271;0,060691774;0,04451351;0,036709003;-0,06681057;0,099156834;0,12967582;0,622934;0,1237833;0,54077613;0,020709667;0,037925802;-0,009828414;-0,20349555;-0,018239358;-0,0094381245;0,14697404;0,2797062;-0,04954215;-0,1785142;-0,6675084;0,17512749;0,0
22;0,7671;0,09089829;0,009286132;0,05482948;-0,005525825;0,13841787;0,12889892;0,6231058;0,124158;0,54073167;0,021530353;0,039694663;-0,009893814;-0,21214561;-0,017493652;-0,00800535;0,15276024;0,27119914;-0,058049217;-0,17877835;-0,67331964;0,1766017;0,0
23;0,7971;0,07635938;;0,017293809;-0,08829378;0,121949404;0,12965229;0,62327623;0,124422394;0,54064006;0,022438003;0,0400421;;-0,21633603;;;0,13958314;0,26395655;-0,06284084;-0,17891257;-0,6517628;0,15943748;0,0
24;0,8271;0,07669549;0,032877658;0,055969547;-0,047378555;0,12295645;0,13173491;0,62343085;0,12466305;0,54057527;0,022828488;0,04005955;-0,010946325;-0,2191437;-0,01690857;-0,008724389;0,13909413;0,25023845;-0,06430403;-0,17891528;-0,65182227;0,1594003;0,0
25;0,8671;0,09249144;;0,043147393;-0,0321178;;0,13473998;0,6235969;0,12503794;0,540523;0,022978112;0,039408524;-0,0116896285;-0,2219101;-0,016485007;-0,0083358325;0,14383207;0,24099836;-0,0637402;-0,18547376;-0,6082003;0,17134541;0,0
26;0,9072;0,07962137;;0,02112452;-0,05226548;0,12323347;0,12686796;0,623806;0,125367;0,5404247;0,023253132;0,038232636;-0,011877803;-0,22628823;-0,01779317;-0,008389943;0,15161262;0,21559007;-0,069540635;-0,18521504;-0,60250854;0,14937168;0,0
27;0,9371;0,08780943;0,044681713;0,026691139;-0,06622888;0,13791075;0,13137944;0,6239561;0,12563255;0,5403271;0,023454703;0,03667709;-0,012228084;-0,22918867;-0,01818627;-0,0092950845;0,17313397;0,2116997;-0,06852907;-0,17374684;-0,619816;0,15387316;0,0
28;0,9672;0,17351171;0,04776319;-0,12732348;-0,06694775;0,4371204;0,13677429;0,6241223;0,12582552;0,5402459;0,023882248;0,03494114;-0,012860828;-0,22753437;-0,01671329;-0,012695698;0,19764788;0,1969401;-0,06858278;-0,1736148;-0,59240144;0,13526382;0,0
29;1,007;0,41066486;0,10218251;-0,5910921;-0,19989628;1,0;0,15841722;0,6242137;0,12596908;0,54016054;0,01861155;0,028085066;-0,01543572;-0,21891901;-0,0004627973;-0,07110107;0,25436902;0,18457302;-0,063792996;-0,15995856;-0,5370619;0,10857648;0,0
30;1,037;0,5345701;0,1326036;-0,8930152;-0,26738024;1,0;0,16660136;0,62419045;0,12603071;0,54003733;0,010978681;0,021048386;-0,018522423;-0,20644182;0,021500437;-0,14479636;0,23978668;0,17401509;-0,062096026;-0,15978724;-0,5087834;0,085400894;0,0
31;1,0671;0,5869722;0,14043102;;-0,29412735;1,0;0,17454135;0,6241012;0,12605503;0,53990525;0,00027120096;0,014183408;-0,02175804;-0,19320981;0,045378953;-0,2227899;0,22459435;0,17321678;-0,06289433;-0,1597594;-0,50817096;0,08578367;0,0
